priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
0,1,4,3.000000,39,1,1,9,19,7,3,7,3,197,98,0,0,0,0.800000,0.000000,0.200000,1.800000,0.848047,0.357959
2,6,6,14.166667,126,10,10,0,0,8,2,8,2,277,66,0,0,0,0.500000,0.000000,0.181818,0.454545,0.632417,0.004544
1,10,7,21.300000,101,0,0,0,0,18,2,17,2,599,40,0,0,0,1.066667,0.000000,0.200000,2.000000,0.303793,0.108369
1,6,5,39.833333,382,0,0,0,0,2,0,2,0,48,0,0,0,0,0.733333,0.066667,0.066667,0.400000,0.449888,0.004500
1,8,8,26.875000,154,0,0,13,0,7,0,7,0,241,0,2,1,0,1.733333,0.266667,0.000000,1.133333,0.457031,0.004358
0,9,6,18.777778,174,2,2,29,27,4,1,4,1,117,20,0,0,0,6.000000,1.800000,0.600000,3.400000,0.154057,0.171128
2,2,7,195.000000,126,0,0,0,0,3,2,3,2,133,100,1,0,0,0.772727,0.000000,0.000000,0.136364,0.379012,0.009897
2,0,2,0.000000,120,68,66,81,22,1,1,1,1,69,69,0,0,0,0.136364,0.000000,0.000000,0.000000,0.766940,0.025233
0,1,3,4.000000,13,0,0,0,0,14,0,14,0,418,0,0,0,4,0.400000,0.000000,0.200000,1.600000,0.916412,0.076894
2,1,3,12.000000,105,23,23,0,0,29,4,29,4,870,118,1,0,0,0.590909,0.000000,0.000000,0.045455,0.051394,0.015159
1,0,1,0.000000,90,2,2,65,14,6,0,6,0,143,0,0,0,0,0.200000,0.000000,0.000000,0.000000,0.091929,0.150463
2,8,5,33.000000,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545455,0.090909,0.181818,0.909091,0.278598,0.138503
0,10,13,35.700000,48,0,0,0,1,4,4,4,4,157,157,2,0,0,7.800000,1.400000,0.800000,4.200000,0.185538,0.008192
0,1,7,18.000000,54,1,1,7,0,4,4,4,4,84,84,0,0,6,0.800000,0.000000,0.200000,1.800000,0.251805,0.011222
0,2,7,18.500000,285,22,21,0,0,74,8,74,8,2417,272,2,0,0,2.800000,0.200000,0.400000,1.600000,0.529315,0.147113
0,8,9,23.500000,54,0,0,0,109,7,1,7,1,196,19,1,0,0,3.400000,0.200000,0.200000,4.200000,0.257597,0.004506
1,2,3,6.000000,38,1,1,13,0,36,2,36,2,1046,77,1,0,0,0.600000,0.066667,0.133333,0.800000,0.532396,0.013024
2,3,4,61.000000,37,0,0,0,0,1,0,0,0,66,0,0,0,0,1.045455,0.136364,0.000000,0.454545,0.053747,0.169907
0,9,4,37.888889,104,4,3,0,0,68,2,68,2,1965,59,2,1,0,4.400000,0.800000,1.400000,4.400000,0.443658,0.571611
0,0,5,0.000000,78,0,0,3,0,36,9,36,9,1051,350,0,0,0,1.000000,0.000000,0.000000,0.400000,0.140240,0.357736
1,8,5,34.875000,65,0,0,0,0,6,6,6,6,177,177,0,0,0,0.800000,0.000000,0.066667,0.866667,0.038077,0.182769
1,1,5,115.000000,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400000,0.066667,0.000000,0.266667,0.606050,0.032207
1,1,3,4.000000,64,0,0,1,0,73,9,73,9,2285,297,0,0,0,0.600000,0.000000,0.000000,0.133333,0.534547,0.182769
2,5,5,37.400000,46,0,0,0,0,1,1,1,1,24,24,2,0,0,1.136364,0.000000,0.000000,0.227273,0.582606,0.769359
1,18,8,36.833333,150,1,1,5,11,85,4,85,4,2409,139,0,0,0,2.666667,0.600000,0.266667,1.333333,0.229324,0.235612
0,1,2,26.000000,81,0,0,0,19,33,6,33,6,1217,259,0,0,0,0.800000,0.000000,0.000000,0.400000,0.864568,0.073325
2,13,8,20.461538,93,0,0,0,0,2,1,2,1,51,38,0,0,0,1.318182,0.045455,0.045455,0.681818,0.058517,0.036582
1,0,2,0.000000,166,0,0,0,15,24,6,24,6,1036,216,1,0,2,0.733333,0.000000,0.000000,0.200000,0.489741,0.495007
0,1,4,9.000000,318,0,0,0,6,5,1,5,1,125,26,0,0,0,1.200000,0.000000,0.000000,0.400000,0.810553,0.215714
0,0,4,0.000000,407,0,0,0,10,5,1,5,1,125,26,0,0,0,1.000000,0.000000,0.000000,0.200000,0.849617,0.215714
1,0,3,0.000000,446,0,0,0,68,20,3,20,3,642,104,0,0,0,0.200000,0.000000,0.000000,0.000000,0.936306,0.182769
1,2,4,16.000000,314,9,9,19,427,13,13,13,13,484,484,0,0,0,0.400000,0.000000,0.066667,0.866667,0.622408,0.416322
0,7,7,20.428571,99,14,14,0,0,85,11,85,11,2466,247,0,0,2,2.200000,0.200000,0.000000,1.400000,0.726323,0.107085
1,1,6,12.000000,42,18,18,196,46,97,17,95,15,3114,526,0,0,0,0.933333,0.200000,0.000000,0.266667,0.033884,0.182769
0,11,8,51.909091,159,0,0,0,140,71,38,71,38,1642,888,0,0,0,6.800000,3.800000,0.200000,2.200000,0.421995,0.235612
2,13,7,23.846154,101,16,16,0,0,6,0,6,0,163,0,0,0,0,0.818182,0.090909,0.136364,1.000000,0.061038,0.436488
2,1,2,78.000000,108,126,124,471,147,43,12,43,12,1508,578,0,0,0,0.409091,0.090909,0.000000,0.045455,0.073770,0.182769
2,5,6,28.600000,83,12,12,0,0,75,6,75,6,2336,155,0,0,0,0.545455,0.000000,0.000000,0.318182,0.061842,0.038925
1,1,3,16.000000,145,22,22,0,0,13,5,13,5,314,95,0,0,0,0.066667,0.000000,0.000000,0.800000,0.667879,0.004985
1,3,2,17.666667,44,0,0,0,2,3,3,3,3,35,35,0,0,0,0.533333,0.066667,0.266667,1.000000,0.046449,0.289703
1,3,6,20.333333,240,1,1,1,93,5,4,5,4,136,96,1,0,0,0.733333,0.066667,0.133333,0.466667,0.592679,0.430447
2,1,1,4.000000,28,1,1,21,0,13,0,13,0,370,0,0,0,2,0.272727,0.000000,0.045455,0.045455,0.482714,0.098393
1,2,3,12.000000,116,17,16,0,0,15,3,11,1,361,42,1,0,0,0.333333,0.000000,0.000000,0.133333,0.817351,0.258826
2,1,5,115.000000,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318182,0.000000,0.000000,0.090909,0.297371,0.032207
1,8,7,22.250000,70,1,0,0,0,29,10,28,9,905,297,4,0,0,1.066667,0.000000,0.133333,1.400000,0.038343,0.970452
0,2,5,18.000000,179,94,92,121,25,16,4,15,4,652,154,1,0,0,2.600000,0.200000,0.000000,0.400000,0.664931,0.004350
1,5,6,10.400000,59,46,45,60,38,22,5,22,5,485,113,1,0,2,0.866667,0.066667,0.066667,0.333333,0.308201,0.357923
0,3,7,32.333333,152,0,0,0,0,28,2,28,2,745,33,0,0,0,2.800000,0.000000,0.200000,1.800000,0.159882,0.038925
1,2,3,29.500000,403,0,0,0,7,66,10,66,10,1918,303,0,0,0,0.600000,0.200000,0.066667,0.133333,0.069142,0.038925
1,1,4,117.000000,19,6,6,55,19,35,5,35,5,1073,146,0,0,0,1.066667,0.066667,0.000000,0.333333,0.307290,0.098393
0,7,6,28.571429,94,1,1,0,0,45,9,45,9,1397,304,0,0,0,3.400000,0.600000,0.200000,1.800000,0.583606,0.206311
1,0,2,0.000000,594,9,9,19,427,13,9,13,9,234,170,0,0,11,0.133333,0.000000,0.000000,0.000000,0.270874,0.156470
1,4,4,11.500000,96,0,0,0,0,0,0,0,0,0,0,2,0,0,1.133333,0.133333,0.000000,0.266667,0.531351,0.012317
2,3,6,21.000000,65,4,4,0,0,10,1,10,1,193,24,2,0,0,0.272727,0.000000,0.090909,0.545455,0.282876,0.208535
1,15,9,38.533333,61,3,3,0,0,107,13,107,13,3248,442,0,0,0,2.133333,0.200000,0.066667,1.200000,0.034825,0.182769
0,0,1,0.000000,47,67,66,98,45,16,5,16,5,413,110,1,0,0,0.600000,0.000000,0.000000,0.000000,0.889543,0.221821
0,0,3,0.000000,311,0,0,0,15,24,11,24,11,739,354,0,0,0,1.200000,0.000000,0.000000,0.200000,0.707664,0.104977
1,1,7,26.000000,432,0,0,15,6,108,23,108,23,3555,618,0,0,0,0.600000,0.000000,0.000000,0.133333,0.047166,0.182769
0,16,7,55.000000,117,53,53,0,0,30,7,30,7,1066,314,1,0,7,4.400000,0.000000,0.000000,3.200000,0.404212,0.004596
